"Customer ID","Customer Name","Recent Order","Number of orders placed by customer",Monetary,Segment
SM-20320,"Sean Miller",2017-10-12,15,25043.05,"High Value Customer"
TC-20980,"Tamara Chand",2016-11-26,11,19017.848,"High Value Customer"
RB-19360,"Raymond Buch",2017-09-25,18,15117.339,"High Value Customer"
TA-21385,"Tom Ashbrook",2017-10-22,10,14595.62,"High Value Customer"
AB-10105,"Adrian Barton",2017-11-19,19,14355.611,"High Value Customer"
SC-20095,"Sanjit Chand",2017-01-15,22,14142.334,"High Value Customer"
KL-16645,"Ken Lonsdale",2017-11-13,27,14071.917,"High Value Customer"
HL-15040,"Hunter Lopez",2017-11-17,11,12873.298,"High Value Customer"
SE-20110,"Sanjit Engle",2017-12-21,19,12209.438,"High Value Customer"
CC-12370,"Christopher Conant",2017-11-17,11,12129.072,"High Value Customer"
TS-21370,"Todd Sumrall",2017-11-24,14,11885.871,"High Value Customer"
GT-14710,"Greg Tran",2017-11-24,29,11820.12,"High Value Customer"
BM-11140,"Becky Martin",2017-02-26,14,11609.9,"High Value Customer"
SV-20365,"Seth Vernon",2017-09-20,30,11420.646,"High Value Customer"
CJ-12010,"Caroline Jumper",2017-06-24,19,11079.742,"High Value Customer"
CL-12565,"Clay Ludtke",2017-03-21,28,10880.546,"High Value Customer"
ME-17320,"Maria Etezadi",2017-11-18,21,10635.918,"High Value Customer"
KF-16285,"Karen Ferguson",2017-09-24,18,10604.266,"High Value Customer"
BS-11365,"Bill Shonely",2016-06-20,9,10501.653,"High Value Customer"
EH-13765,"Edward Hooks",2017-08-17,31,10005.98,"High Value Customer"
JL-15835,"John Lee",2017-12-09,33,9403.003,"High Value Customer"
GT-14635,"Grant Thornton",2017-11-04,6,9351.212,"High Value Customer"
HW-14935,"Helen Wasserman",2017-09-04,20,9300.254,"High Value Customer"
TB-21400,"Tom Boeckenhauer",2017-06-11,15,9012.742,"High Value Customer"
PF-19120,"Peter Fuller",2015-09-17,18,8980.496,"High Value Customer"
CM-12385,"Christopher Martinez",2017-11-23,10,8954.02,"High Value Customer"
JD-16150,"Justin Deggeller",2017-11-19,17,8828.0305,"High Value Customer"
JE-15715,"Joe Elijah",2017-11-14,21,8672.163,"High Value Customer"
LA-16780,"Laura Armstrong",2017-07-29,25,8631.522,"High Value Customer"
DR-12940,"Daniel Raglin",2017-11-10,13,8350.868,"High Value Customer"
NF-18385,"Natalie Fritzler",2017-10-12,14,8322.826,"High Value Customer"
KD-16270,"Karen Daniels",2016-09-02,16,8282.358,"High Value Customer"
NC-18535,"Nick Crebassa",2017-12-24,15,8241.739,"High Value Customer"
KD-16495,"Keith Dawkins",2017-09-09,28,8181.256,"High Value Customer"
PK-19075,"Pete Kriz",2017-12-21,23,8158.654,"High Value Customer"
HM-14860,"Harry Marie",2017-12-28,19,8148.8448,"High Value Customer"
SB-20290,"Sean Braxton",2017-11-13,17,8057.891,"High Value Customer"
ZC-21910,"Zuschuss Carroll",2017-11-06,30,8021.135,"High Value Customer"
JH-15985,"Joseph Holt",2017-12-01,14,7954.998,"High Value Customer"
NP-18700,"Nora Preis",2017-08-14,13,7903.1825,"High Value Customer"
AH-10690,"Anna Häberlin",2016-11-15,23,7888.294,"High Value Customer"
JE-15610,"Jim Epp",2017-11-12,20,7754.976,"High Value Customer"
AB-10060,"Adam Bellavance",2017-11-06,16,7732.67,"High Value Customer"
JW-15220,"Jane Waco",2017-11-18,14,7721.714,"High Value Customer"
JM-15865,"John Murray",2017-09-12,13,7625.076,"High Value Customer"
RW-19540,"Rick Wilson",2017-09-01,23,7397.401,"High Value Customer"
LC-16885,"Lena Creighton",2017-12-14,22,7396.774,"High Value Customer"
PO-18850,"Patrick O'Brill",2017-10-24,19,7367.3342,"High Value Customer"
BM-11650,"Brian Moss",2017-11-27,28,7283.817,"High Value Customer"
NW-18400,"Natalie Webber",2017-07-11,22,7234.014,"High Value Customer"
Dp-13240,"Dean percer",2017-10-07,29,7198.761,"High Value Customer"
PP-18955,"Paul Prost",2017-09-24,32,7075.92,"High Value Customer"
RH-19510,"Rick Huthwaite",2016-09-19,11,6962.14,"High Value Customer"
MS-17365,"Maribeth Schnelling",2017-04-01,23,6848.31,"High Value Customer"
PS-19045,"Penelope Sewall",2017-05-08,13,6843.634,"High Value Customer"
BB-11545,"Brenda Bowman",2017-12-02,20,6765.728,"High Value Customer"
FH-14365,"Fred Hopkins",2017-12-25,10,6683.66,"High Value Customer"
YS-21880,"Yana Sorensen",2017-12-21,11,6654.504,"High Value Customer"
AR-10540,"Andy Reiter",2017-12-24,9,6608.448,"High Value Customer"
GK-14620,"Grace Kelly",2017-09-09,14,6497.27,"High Value Customer"
JA-15970,"Joseph Airdo",2017-09-29,23,6475.474,"High Value Customer"
NM-18445,"Nathan Mautz",2017-07-23,14,6459.344,"High Value Customer"
JD-15895,"Jonathan Doherty",2016-12-01,30,6456.456,"High Value Customer"
SB-20185,"Sarah Brown",2017-06-25,12,6410.996,"High Value Customer"
JE-15745,"Joel Eaton",2017-11-09,21,6400.455,"High Value Customer"
JG-15160,"James Galang",2017-12-29,18,6366.392,"High Value Customer"
CM-12655,"Corinna Mitchell",2017-12-03,10,6339.5576,"High Value Customer"
VD-21670,"Valerie Dominguez",2016-05-28,15,6283.354,"High Value Customer"
MJ-17740,"Max Jones",2017-12-08,14,6282.226,"High Value Customer"
BH-11710,"Brosina Hoffman",2017-12-07,24,6255.351,"High Value Customer"
DM-13015,"Darrin Martin",2017-10-23,18,6247.372,"High Value Customer"
DR-12880,"Dan Reichenbach",2017-12-27,22,6247.206,"High Value Customer"
RL-19615,"Rob Lucas",2017-08-31,24,6234.91,"High Value Customer"
VW-21775,"Victoria Wilson",2017-12-02,17,6112.702,"High Value Customer"
QJ-19255,"Quincy Jones",2017-12-05,13,6108.338,"High Value Customer"
AD-10180,"Alan Dominguez",2017-12-01,11,6101,"High Value Customer"
GM-14695,"Greg Maxwell",2017-09-04,11,6049.966,"High Value Customer"
CB-12025,"Cassandra Brandow",2017-11-13,24,6028.227,"High Value Customer"
WB-21850,"William Brown",2017-12-10,34,6024.81,"High Value Customer"
RM-19675,"Robert Marley",2017-12-24,10,5967.736,"High Value Customer"
KH-16510,"Keith Herrera",2017-12-08,23,5952.859,"High Value Customer"
SD-20485,"Shirley Daniels",2017-06-13,18,5920.258,"High Value Customer"
BF-11170,"Ben Ferrer",2017-12-14,27,5907.972,"High Value Customer"
SC-20380,"Shahid Collister",2017-11-30,19,5894.184,"High Value Customer"
CP-12340,"Christine Phan",2017-07-23,15,5888.275,"High Value Customer"
KH-16690,"Kristen Hastings",2017-12-28,14,5867.859,"High Value Customer"
CS-12505,"Cindy Stewart",2017-11-02,9,5690.055,"High Value Customer"
BD-11320,"Bill Donatelli",2017-11-27,18,5672.171,"High Value Customer"
AM-10705,"Anne McFarland",2017-07-21,21,5653.862,"High Value Customer"
RB-19795,"Ross Baird",2017-11-28,18,5633.316,"High Value Customer"
KM-16375,"Katherine Murray",2017-11-04,19,5609.746,"High Value Customer"
AA-10315,"Alex Avila",2017-06-29,11,5563.56,"High Value Customer"
SM-20950,"Suzanne McNair",2017-12-05,22,5563.392,"High Value Customer"
NP-18325,"Naresj Patel",2017-12-05,21,5529.62,"High Value Customer"
AC-10450,"Amy Cox",2017-12-19,9,5527.846,"High Value Customer"
MH-18115,"Mick Hernandez",2017-12-25,22,5503.093,"High Value Customer"
DP-13390,"Dennis Pardue",2017-01-06,14,5480.724,"High Value Customer"
EP-13915,"Emily Phan",2017-12-18,31,5478.0608,"High Value Customer"
YC-21895,"Yoseph Carroll",2017-12-26,8,5454.35,"High Value Customer"
SP-20620,"Stefania Perrino",2017-11-13,24,5440.319,"High Value Customer"
LW-17215,"Luke Weiss",2017-12-09,15,5420.514,"High Value Customer"
TS-21205,"Thomas Seio",2017-06-15,19,5371.09,"High Value Customer"
TT-21460,"Tonja Turnell",2017-12-18,14,5364.808,"High Value Customer"
MW-18220,"Mitch Webber",2017-12-13,14,5341.9,"High Value Customer"
TP-21415,"Tom Prescott",2017-09-17,10,5329.0048,"High Value Customer"
DW-13480,"Dianna Wilson",2017-05-27,10,5256.848,"High Value Customer"
MW-18235,"Mitch Willingham",2017-11-16,3,5253.876,"High Value Customer"
HR-14830,"Harold Ryan",2017-07-24,14,5248.787,"High Value Customer"
SC-20725,"Steven Cartwright",2017-06-26,26,5226.21,"High Value Customer"
TW-21025,"Tamara Willingham",2017-10-27,11,5164.626,"High Value Customer"
CP-12085,"Cathy Prescott",2017-10-09,13,5164.102,"High Value Customer"
LR-16915,"Lena Radford",2017-12-04,16,5142.892,"High Value Customer"
RP-19390,"Resi Pölking",2017-11-27,24,5142.14,"High Value Customer"
MP-18175,"Mike Pelletier",2017-12-14,19,5087.92,"High Value Customer"
IL-15100,"Ivan Liston",2017-08-10,14,5040.736,"High Value Customer"
LB-16795,"Laurel Beltran",2017-07-31,24,4985.676,"Average Customer"
DH-13075,"Dave Hallsten",2017-03-28,23,4932.872,"Average Customer"
IM-15070,"Irene Maddox",2016-12-05,21,4930.474,"Average Customer"
TT-21070,"Ted Trevino",2017-11-29,14,4915.602,"Average Customer"
KM-16720,"Kunst Miller",2017-12-02,28,4909.472,"Average Customer"
PO-19180,"Philisse Overcash",2017-07-23,18,4893.043,"Average Customer"
HK-14890,"Heather Kirkland",2017-08-01,15,4877.784,"Average Customer"
AJ-10780,"Anthony Jacobs",2017-10-16,15,4867.344,"Average Customer"
AH-10210,"Alan Hwang",2017-12-24,13,4805.344,"Average Customer"
RA-19915,"Russell Applegate",2017-12-18,21,4781.367,"Average Customer"
JK-15730,"Joe Kamberova",2017-10-07,19,4769.9,"Average Customer"
JK-15640,"Jim Kriz",2017-07-03,11,4752.442,"Average Customer"
BW-11110,"Bart Watters",2017-08-31,17,4750.358,"Average Customer"
TB-21520,"Tracy Blumstein",2017-09-14,19,4730.628,"Average Customer"
SA-20830,"Sue Ann Reed",2017-10-28,19,4708.5255,"Average Customer"
ES-14080,"Erin Smith",2017-12-02,19,4648.516,"Average Customer"
KT-16480,"Kean Thornton",2017-09-21,13,4642.0884,"Average Customer"
SC-20050,"Sample Company A",2017-11-20,15,4624.572,"Average Customer"
DB-13270,"Deborah Brumfield",2017-11-07,12,4621.657,"Average Customer"
GB-14575,"Giulietta Baptist",2017-12-17,15,4594.328,"Average Customer"
RB-19465,"Rick Bensley",2017-12-21,22,4556.566,"Average Customer"
AR-10825,"Anthony Rawles",2017-11-02,13,4523.336,"Average Customer"
AG-10900,"Arthur Gainer",2017-09-25,21,4510.797,"Average Customer"
SC-20770,"Stewart Carmichael",2017-11-19,21,4492.657,"Average Customer"
KL-16555,"Kelly Lampkin",2017-12-14,21,4483.784,"Average Customer"
LC-16930,"Linda Cazamias",2017-11-19,13,4481.162,"Average Customer"
AA-10645,"Anna Andreadi",2017-11-05,15,4455.895,"Average Customer"
TP-21130,"Theone Pippenger",2017-12-22,16,4454.056,"Average Customer"
EM-14140,"Eugene Moren",2017-11-12,18,4438.332,"Average Customer"
MC-17425,"Mark Cousins",2016-11-26,10,4432.138,"Average Customer"
KW-16435,"Katrina Willman",2017-09-25,10,4416.52,"Average Customer"
BD-11500,"Bradley Drucker",2017-11-25,9,4408.297,"Average Customer"
AJ-10795,"Anthony Johnson",2017-07-17,20,4391.491,"Average Customer"
AI-10855,"Arianne Irving",2017-12-17,18,4375.786,"Average Customer"
SC-20230,"Scot Coram",2017-08-03,11,4371.958,"Average Customer"
GZ-14470,"Gary Zandusky",2017-12-23,14,4355.15,"Average Customer"
SR-20740,"Steven Roelle",2017-06-17,12,4345.886,"Average Customer"
EB-13840,"Ellis Ballard",2017-10-01,7,4344.508,"Average Customer"
ND-18370,"Natalie DeCherney",2017-12-03,17,4281.389,"Average Customer"
MA-17560,"Matt Abelman",2017-10-27,33,4280.621,"Average Customer"
JK-15205,"Jamie Kunitz",2017-10-30,11,4278.17,"Average Customer"
DB-13060,"Dave Brooks",2017-12-14,12,4265.294,"Average Customer"
TC-21295,"Toby Carlisle",2017-12-03,15,4261.852,"Average Customer"
AS-10225,"Alan Schoenberger",2017-12-08,12,4249,"Average Customer"
TH-21550,"Tracy Hopkins",2017-10-19,12,4229.556,"Average Customer"
BE-11335,"Bill Eplett",2017-09-02,9,4204.676,"Average Customer"
JF-15565,"Jill Fjeld",2017-11-06,16,4198.332,"Average Customer"
FH-14275,"Frank Hawley",2017-11-23,20,4190.704,"Average Customer"
MY-18295,"Muhammed Yedwab",2017-10-20,19,4134.396,"Average Customer"
DK-13225,"Dean Katz",2017-12-20,18,4125.844,"Average Customer"
CB-12535,"Claudia Bergmann",2017-06-16,18,4123.5155,"Average Customer"
PM-19135,"Peter McVee",2017-11-09,7,4115.662,"Average Customer"
SV-20785,"Stewart Visinsky",2017-02-13,25,4105.305,"Average Customer"
DM-13345,"Denise Monton",2017-12-08,13,4074.472,"Average Customer"
FP-14320,"Frank Preis",2017-12-07,14,4046.746,"Average Customer"
SP-20860,"Sung Pak",2017-10-12,23,4028.588,"Average Customer"
SP-20920,"Susan Pistek",2017-10-21,14,3990.689,"Average Customer"
CM-12715,"Craig Molinari",2015-03-01,13,3984.4524,"Average Customer"
MP-17965,"Michael Paige",2017-10-19,20,3983.642,"Average Customer"
SC-20305,"Sean Christensen",2017-12-01,11,3971.064,"Average Customer"
DK-12895,"Dana Kaydos",2017-11-15,14,3943.04,"Average Customer"
LF-17185,"Luke Foster",2017-12-08,16,3930.509,"Average Customer"
GH-14425,"Gary Hwang",2017-11-10,9,3925.742,"Average Customer"
GA-14515,"George Ashbrook",2017-08-03,14,3919.776,"Average Customer"
KH-16630,"Ken Heidel",2017-11-02,17,3918.966,"Average Customer"
DB-13555,"Dorothy Badders",2017-09-14,14,3908.8028,"Average Customer"
KC-16540,"Kelly Collister",2017-09-24,5,3908.262,"Average Customer"
CC-12220,"Chris Cortes",2017-12-10,21,3902.522,"Average Customer"
NP-18670,"Nora Paige",2017-11-02,9,3896.642,"Average Customer"
PW-19240,"Pierre Wener",2016-09-22,11,3878.315,"Average Customer"
JS-15880,"John Stevenson",2016-07-14,9,3868.02,"Average Customer"
FC-14335,"Fred Chung",2017-06-29,9,3865.846,"Average Customer"
RA-19885,"Ruben Ausman",2017-11-17,15,3832.314,"Average Customer"
RS-19765,"Roland Schwarz",2017-11-24,13,3831.93,"Average Customer"
AT-10735,"Annie Thurman",2017-12-17,16,3831.864,"Average Customer"
OT-18730,"Olvera Toch",2017-10-26,10,3818.624,"Average Customer"
RO-19780,"Rose O'Brian",2017-11-25,12,3815.478,"Average Customer"
MC-17845,"Michael Chen",2017-12-29,14,3805.714,"Average Customer"
MM-17920,"Michael Moore",2017-12-23,16,3794.08,"Average Customer"
CA-11965,"Carol Adams",2017-09-25,10,3789.7228,"Average Customer"
MG-17650,"Matthew Grinstein",2017-12-01,14,3785.276,"Average Customer"
SJ-20125,"Sanjit Jacobs",2017-09-26,22,3777.88,"Average Customer"
MD-17350,"Maribeth Dona",2017-09-04,17,3766.382,"Average Customer"
JK-15625,"Jim Karlsson",2017-10-30,12,3760.028,"Average Customer"
JK-16090,"Juliana Krohn",2017-12-02,9,3747.668,"Average Customer"
RD-19480,"Rick Duston",2017-10-19,14,3743.03,"Average Customer"
FM-14290,"Frank Merwin",2017-11-24,20,3736.198,"Average Customer"
SC-20260,"Scott Cohen",2017-06-26,18,3729.793,"Average Customer"
HG-15025,"Hunter Glantz",2017-12-24,11,3690.284,"Average Customer"
LP-17095,"Liz Preis",2017-12-21,15,3653.399,"Average Customer"
CS-12400,"Christopher Schild",2017-12-28,14,3651.8585,"Average Customer"
RH-19495,"Rick Hansen",2017-11-28,8,3621.376,"Average Customer"
BP-11185,"Ben Peterman",2017-12-29,17,3610.293,"Average Customer"
SZ-20035,"Sam Zeldin",2017-11-25,19,3592.433,"Average Customer"
GM-14440,"Gary McGarr",2017-10-08,11,3582.82,"Average Customer"
TB-21175,"Thomas Boland",2017-11-02,10,3579.024,"Average Customer"
JP-15520,"Jeremy Pistek",2017-12-22,15,3572.944,"Average Customer"
DL-13495,"Dionis Lloyd",2017-10-15,12,3539.322,"Average Customer"
ES-14020,"Erica Smith",2017-11-20,8,3510.458,"Average Customer"
RW-19690,"Robert Waldorf",2017-10-12,15,3495.646,"Average Customer"
AG-10675,"Anna Gayman",2017-09-24,15,3489.0396,"Average Customer"
ED-13885,"Emily Ducich",2017-08-17,14,3484.92,"Average Customer"
PW-19030,"Pauline Webber",2017-11-14,13,3454.916,"Average Customer"
EB-13705,"Ed Braxton",2017-11-12,11,3448.274,"Average Customer"
SF-20200,"Sarah Foster",2017-11-01,15,3422.786,"Average Customer"
FC-14245,"Frank Carlisle",2017-10-21,13,3414.678,"Average Customer"
SG-20080,"Sandra Glassco",2017-12-22,11,3406.581,"Average Customer"
BS-11380,"Bill Stewart",2017-12-02,12,3379.13,"Average Customer"
TS-21655,"Trudy Schmidt",2017-05-06,14,3368.094,"Average Customer"
SC-20020,"Sam Craven",2015-11-10,17,3362.9636,"Average Customer"
DJ-13630,"Doug Jacobs",2017-12-18,8,3356.398,"Average Customer"
DC-12850,"Dan Campbell",2017-11-23,18,3336.168,"Average Customer"
AP-10915,"Arthur Prichep",2017-09-23,31,3323.556,"Average Customer"
DK-13375,"Dennis Kane",2017-12-11,23,3318.486,"Average Customer"
KH-16330,"Katharine Harms",2017-11-20,18,3312.864,"Average Customer"
RF-19345,"Randy Ferguson",2016-12-05,16,3309.15,"Average Customer"
SF-20965,"Sylvia Foulston",2017-11-12,16,3306.871,"Average Customer"
RR-19525,"Rick Reed",2017-07-13,10,3302.262,"Average Customer"
BD-11605,"Brian Dahlen",2017-09-24,20,3288.471,"Average Customer"
BS-11665,"Brian Stugart",2016-05-27,11,3288.11,"Average Customer"
DV-13465,"Dianna Vittorini",2017-12-01,14,3285.987,"Average Customer"
RW-19630,"Rob Williams",2017-10-02,15,3273.65,"Average Customer"
DL-12925,"Daniel Lacy",2017-11-03,14,3272.2,"Average Customer"
AS-10090,"Adam Shillingsburg",2017-12-02,25,3255.31,"Average Customer"
JO-15145,"Jack O'Briant",2017-11-03,13,3254.949,"Average Customer"
DK-12835,"Damala Kotsonis",2017-12-09,26,3253.534,"Average Customer"
AH-10075,"Adam Hart",2017-11-26,20,3250.337,"Average Customer"
LC-16960,"Lindsay Castell",2016-10-20,7,3246.626,"Average Customer"
CT-11995,"Carol Triggs",2017-09-25,18,3241.898,"Average Customer"
SR-20425,"Sharelle Roach",2017-12-22,9,3233.481,"Average Customer"
LW-16990,"Lindsay Williams",2017-11-27,11,3230.308,"Average Customer"
RS-19420,"Ricardo Sperren",2017-10-15,9,3221.29,"Average Customer"
AS-10285,"Alejandro Savely",2017-12-11,7,3212.272,"Average Customer"
MP-17470,"Mark Packer",2016-01-11,14,3206.132,"Average Customer"
CS-12355,"Christine Sundaresam",2017-12-24,22,3202.162,"Average Customer"
BT-11680,"Brian Thompson",2017-12-10,20,3196.752,"Average Customer"
DG-13300,"Deirdre Greer",2017-11-28,8,3195.818,"Average Customer"
VP-21760,"Victoria Pisteka",2017-10-16,13,3193.606,"Average Customer"
HG-14965,"Henry Goldwyn",2017-12-07,15,3184.174,"Average Customer"
EB-13750,"Edward Becker",2017-11-25,18,3166.882,"Average Customer"
GM-14680,"Greg Matthias",2017-07-31,11,3163.628,"Average Customer"
CK-12205,"Chloris Kastensmidt",2017-11-21,32,3154.855,"Average Customer"
KB-16240,"Karen Bern",2017-12-26,10,3152.615,"Average Customer"
JM-15250,"Janet Martin",2017-11-23,18,3145.374,"Average Customer"
JL-15505,"Jeremy Lonsdale",2017-11-11,16,3142.746,"Average Customer"
MS-17770,"Maxwell Schwartz",2017-08-31,18,3138.582,"Average Customer"
RD-19900,"Ruben Dartt",2017-09-07,21,3133.924,"Average Customer"
TN-21040,"Tanja Norvell",2017-10-01,12,3130.221,"Average Customer"
SN-20710,"Steve Nguyen",2017-10-12,19,3127.9592,"Average Customer"
SG-20605,"Speros Goranitis",2017-09-13,12,3116.976,"Average Customer"
KH-16360,"Katherine Hughes",2017-12-29,14,3100.612,"Average Customer"
PG-18820,"Patrick Gardner",2017-11-24,26,3086.907,"Average Customer"
GM-14455,"Gary Mitchum",2017-12-14,12,3078.624,"Average Customer"
EB-14110,"Eugene Barchas",2017-09-08,11,3071.126,"Average Customer"
TG-21310,"Toby Gnade",2017-01-27,9,3058.372,"Average Customer"
KT-16465,"Kean Takahito",2016-12-04,14,3057.1,"Average Customer"
SS-20410,"Shahid Shariari",2017-09-11,12,3056.807,"Average Customer"
SL-20155,"Sara Luxemburg",2017-10-21,9,3053.012,"Average Customer"
CA-12775,"Cynthia Arntzen",2017-09-01,17,3041.566,"Average Customer"
